entity_id,entity_type,description,chunk_ids,source_files,release,created_at,file_path,source_id,raw_entity_id
5gAuthData,Concept,"5gAuthData is a data type<SEP>5gAuthData is a data type defined as a list of mutually exclusive alternatives, used in authentication procedures. It includes two possible components: Av5gAka and EapPayload, each with a cardinality of 1.",,,Rel-19,1770192495,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.4,chunk-4820920fa5300928df904d104cbf752f<SEP>chunk-05e3aa5bdd7556cb93411cd397c1aa2c,5gAuthData
AuthenticationInfo,Concept,AuthenticationInfo is a data type defined in clause 6.1.6.2.2 that contains the UE identity (SUCI or SUPI) and the Serving Network Name.,,,Rel-19,1770192440,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1,chunk-05e3aa5bdd7556cb93411cd397c1aa2c,AuthenticationInfo
ConfirmationData,Concept,"ConfirmationData is a data type defined in clause 6.1.6.2.6 that contains the ""RES*"" generated by the UE during authentication.<SEP>ConfirmationData is a data type defined in Table 6.1.6.2.6-1 with two attributes: resStar and supportedFeatures. It is used to convey information from the UE to the AMF and AUSF, where resStar contains the ""RES*"" provided by the UE or a null value if no RES* is provided, and supportedFeatures indicates supported features defined in clause 6.1.9, present only if at least one such feature exists.",,,Rel-19,1770192507,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.6,chunk-49edbce69586b3a6f3c2b34a087b524a<SEP>chunk-05e3aa5bdd7556cb93411cd397c1aa2c,ConfirmationData
Av5gAka,Technology,Av5gAka is a data type defined in clause 6.1.6.2.5 that contains the Authentication Vector for the 5G AKA authentication method.<SEP>Av5gAka is a data component within 5gAuthData that contains the 5G Authentication Vector (5G AV) when 5G-AKA is selected as the authentication method.,,,Rel-19,1770192495,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.4,chunk-4820920fa5300928df904d104cbf752f<SEP>chunk-05e3aa5bdd7556cb93411cd397c1aa2c,Av5gAka
UEAuthenticationCtx,Concept,"UEAuthenticationCtx is a data type defined in clause 6.1.6.2.3 that contains information related to the resource generated to handle UE authentication. It includes at least the UE identity, Serving Network, Authentication Method, and related EAP or 5G-AKA information.",,,Rel-19,1770192440,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1,chunk-05e3aa5bdd7556cb93411cd397c1aa2c,UEAuthenticationCtx
ConfirmationDataResponse,Concept,"ConfirmationDataResponse is a data type defined in clause 6.1.6.2.8 that contains the result of the authentication process.<SEP>ConfirmationDataResponse is a data type defined in Table 6.1.6.2.8-1 with specific attributes including authResult, supi, kseaf, and pvsInfo. It is used to convey authentication results and related information in a network communication context.",,,Rel-19,1770192511,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.8,chunk-b1235642efb0407d9dca3b197905b474<SEP>chunk-05e3aa5bdd7556cb93411cd397c1aa2c,ConfirmationDataResponse
EapSession,Concept,"EapSession is a data type defined in clause 6.1.6.2.7 that contains information related to the EAP session used in authentication.<SEP>EapSession is a type defined in Table 6.1.6.2.7-1 that represents an EAP session in the context of authentication procedures. It includes attributes such as eapPayload, kSeaf, _links, authResult, supi, supportedFeatures, pvsInfo, and msk, each with specific data types, cardinality, and conditions for inclusion. The session is used in interactions involving UE, AUSF, AMF, NSWOF, and UDM, and is governed by IETF RFC 3748 and 3GPP TS 33.501.",,,Rel-19,1770192508,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.7,chunk-f72cd23c74177594bbb060406dd3c5dc<SEP>chunk-05e3aa5bdd7556cb93411cd397c1aa2c,EapSession
3gpp-Sbi-Notification-Correlation,Concept,The 3gpp-Sbi-Notification-Correlation header field is used by a Network Function (NF) in a UDR resource create/update/delete request to indicate the subscription context(s) whose notifications should be disabled due to the request. It contains subscription identifiers provided by the UDR during the subscribe operation. The header encoding follows the ABNF defined in IETF RFC 9110 [15].,,,Rel-19,1770192441,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.3,chunk-d807e1e40c129af06d0acd5ea2f800c0,3gpp-Sbi-Notification-Correlation
token,Terminology,,,,Rel-19,1770192441,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.3,chunk-d807e1e40c129af06d0acd5ea2f800c0,token
Sbi-Notification-Correlation-Header,Concept,"Sbi-Notification-Correlation-Header is a header field defined as ""3gpp-Sbi-Notification-Correlation:"" followed by one or more subscriptionId values separated by commas, with optional whitespace (OWS) around each element. It is used in UDR resource create/update/delete requests to disable notifications for specified subscription contexts.",,,Rel-19,1770192441,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.3,chunk-d807e1e40c129af06d0acd5ea2f800c0,Sbi-Notification-Correlation-Header
OWS,Terminology,,,,Rel-19,1770192441,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.3,chunk-d807e1e40c129af06d0acd5ea2f800c0,OWS
subscriptionId,Terminology,,,,Rel-19,1770192441,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.3,chunk-d807e1e40c129af06d0acd5ea2f800c0,subscriptionId
NF,Terminology,,,,Rel-19,1770192441,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.3,chunk-d807e1e40c129af06d0acd5ea2f800c0,NF
Last-Modified,Concept,"Last-Modified is a header defined in IETF RFC 9110 clause 13.1.3 that should be included in HTTP responses containing cacheable resources, such as SmfSelectionSubscriptionData, to enable conditional requests using the ""If-Modified-Since"" header.<SEP>HTTP responses carry a representation of cacheable resources, which is the context in which the Last-Modified header is applied",,,Rel-19,1770192441<SEP>1770193920,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.6<SEP>../3GPP-trunked/Rel-19/29_series/29598-j10.md6.1.2.2.7,chunk-62464a21ba76af31440be94e308cf226<SEP>chunk-ca50ec9b3f2377424024808cff40d101,Last-Modified<SEP>Last-Modified)##
IETF RFC 9110,Document,,,,Rel-19,1770192441,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.6,chunk-62464a21ba76af31440be94e308cf226,IETF RFC 9110
conditional GET request,Concept,"A conditional GET request is a type of HTTP request issued by an NF Service Consumer to UDR, where the request includes an ""If-None-Match"" header to check if the resource has been modified since the last retrieval. If the resource has not changed, the server responds with a 304 Not Modified status.",,,Rel-19,1770192442,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.5,chunk-85d7b3bd0ad6a9abc2bd81c2a2b570fe,conditional GET request
If-None-Match,Concept,"If-None-Match is a header used in HTTP requests by an NF Service Consumer to issue a conditional GET request to UDR. It contains one or more entity tags obtained from previous responses for the same resource, enabling the server to return a 304 Not Modified response if the resource has not changed.",,,Rel-19,1770192442,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.5,chunk-85d7b3bd0ad6a9abc2bd81c2a2b570fe,If-None-Match
If-Match,Signal,"If-Match is a header used in HTTP requests by an NF Service Consumer to issue conditional POST, PUT, PATCH, or DELETE requests to UDR. It contains an entity tag received from a previous response for the same resource, ensuring the operation is only performed if the resource has not been modified since the last retrieval.<SEP>NULL",,,Rel-19,1770192489,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.5<SEP>../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.4,chunk-510a4d033ec7ed6903767f7a62d0e9e5<SEP>chunk-85d7b3bd0ad6a9abc2bd81c2a2b570fe,If-Match
3gpp-Sbi-Message-Priority,UNKNOWN,The Nudr interface shall support the 3gpp-Sbi-Message-Priority custom header as specified in Clause 5.2.3<SEP>3gpp-Sbi-Message-Priority is defined in 3GPP TS 29.500 clause 5.2.3.2.2,,,Rel-19,1770192442<SEP>1770188118,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.2<SEP>../3GPP-trunked/Rel-19/29_series/29515-j20.md6.1.2.3.1,chunk-7f18eea04acb1ef0dcaf4a01a17cdc1d<SEP>chunk-4dd0b715955de4815b3c7aa5eb429ec0,3gpp-Sbi-Message-Priority<SEP>3gpp-Sbi-Message-Priority)##
Nudr interface,UNKNOWN,The Nudr interface shall support the 3gpp-Sbi-Message-Priority custom header as specified in Clause 5.2.3<SEP>HTTP standard headers are required to be supported on the Nudr interface as specified in clause 5.2.2 of 3GPP TS 29.5,,,Rel-19,1770192442<SEP>1770192343,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.2<SEP>../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.1,chunk-7f18eea04acb1ef0dcaf4a01a17cdc1d<SEP>chunk-bc80971ed68ae787430af9f819223a63,Nudr interface<SEP>Nudr interface)##
Clause 5.2.3.2.2,UNKNOWN,The definition of 3gpp-Sbi-Message-Priority is detailed in Clause 5.2.3.2.2 of 3GPP TS,,,Rel-19,1770192442,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.2,chunk-7f18eea04acb1ef0dcaf4a01a17cdc1d,Clause 5.2.3.2.2
REF,UNKNOWN,Clause 5.2.3.2.2 of 3GPP TS 29.5,,,Rel-19,1770192442,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.2,chunk-7f18eea04acb1ef0dcaf4a01a17cdc1d,REF
If-Modified-Since,Signal,If-Modified-Since is a conditional request header used by an NF Service Consumer to request a resource only if it has been modified after a specified date.,,,Rel-19,1770192442,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.6,chunk-62464a21ba76af31440be94e308cf226,If-Modified-Since
Uri,UNKNOWN,Uri is defined in 3GPP TS 29.571 [10],,,Rel-19,1770192443,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1,chunk-b82899e8c390aa1b57361cf45cccd372,Uri
SupiOrSuci,UNKNOWN,SupiOrSuci is defined in,,,Rel-19,1770192551,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1,chunk-b82899e8c390aa1b57361cf45cccd372,SupiOrSuci
Pei,UNKNOWN,3GPP TS,,,Rel-19,1770192443,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.1,chunk-b82899e8c390aa1b57361cf45cccd372,Pei
NF Service Consumer,UNKNOWN,,,,Rel-19,1770192595,,,NF Service Consumer
UDR,Technology,"UDR is a network function that receives HTTP requests from an NF Service Consumer and processes conditional requests based on entity tags provided in headers such as If-None<SEP>UDR refers to the User Data Repository, a system component that stores user data and includes an ETag header when returning a resource, enabling conditional requests based on resource validation.<SEP>UDR is a network function responsible for storing and retrieving user data, and it uses the 3gpp-Sbi-Etags header field in 200 OK responses to GET requests for multiple data set retrieval.<SEP>UDR is a data repository that stores data which may be subject to notification upon change or restoration.",,,Rel-19,1770192595,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.5<SEP>../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.8<SEP>../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.4<SEP>../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.5.1,chunk-510a4d033ec7ed6903767f7a62d0e9e5<SEP>chunk-85d7b3bd0ad6a9abc2bd81c2a2b570fe<SEP>chunk-6ba383daaf42c83feb20718322e5cfed<SEP>chunk-45bc9e845c8a72c019380e267428003f,UDR
ETag,UNKNOWN,IETF RFC 9110 clause 15.3.1,,,Rel-19,1770192446,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.8,chunk-6ba383daaf42c83feb20718322e5cfed,ETag
IETF RFC 7232 clause 3.3)##,UNKNOWN,"The NF Service Consumer uses the If-Modified-Since header to conditionally retrieve a resource from the UDR<SEP>The ""If-Modified-Since"" header is included in the HTTP request issued by the NF Service Consumer",,,Rel-19,1770192446,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.7,chunk-9eba216d255f620d55da92143deec1b5,IETF RFC 7232 clause 3.3)##<SEP>IETF RFC 7232 clause 3.3
HTTP request,UNKNOWN,"The ""If-Modified-Since"" header is included in the HTTP request issued by the NF Service Consumer",,,Rel-19,1770192446,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.2.7,chunk-9eba216d255f620d55da92143deec1b5,HTTP request
M,Terminology,,,,Rel-19,1770192450,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.3,chunk-8b946a2b4b6fee3965ed05c86f614502,M
yyy,Terminology,,,,Rel-19,1770192450,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.3,chunk-8b946a2b4b6fee3965ed05c86f614502,yyy
SubscriptionData,Concept,"SubscriptionData is a data entity referenced in 3GPP TS 29.5, used for managing subscription-related information in the system.",,,Rel-19,1770192454,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.3.2,chunk-c4b1488d529e321ba671ce907ef221e3,SubscriptionData
resource represent,Concept,resource represent is a structure defined in clause 6.1.6.2.1 for use in resource representation.,,,Rel-19,1770192455,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.1,chunk-cf86c815ed63e4e5b30b9ed71e5f4198,resource represent
6.1.6.2.1)##,UNKNOWN,The following clause defines the structures to be used in resource represent,,,Rel-19,1770192455,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.1,chunk-cf86c815ed63e4e5b30b9ed71e5f4198,6.1.6.2.1)##
PolicyData,UNKNOWN,3GPP TS 29.5)##,,,Rel-19,1770192455,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.3.3,chunk-91b7e3f71c729dc0a57b7233bd2f4e9b,PolicyData
StructuredDataForExposure,Concept,"StructuredDataForExposure is a defined entity in section 6.1.3.4, referenced in 3GPP TS 29.5. It is a structured data format used for exposure purposes, though specific attributes or procedures are not detailed in the provided text.",,,Rel-19,1770192461,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.3.4,chunk-dbb3afde6ab6004ca91d9051f6a889c4,StructuredDataForExposure
ApplicationData,Concept,ApplicationData is a concept referenced in section 6.1.3.5 and defined in 3GPP TS 29.5.,,,Rel-19,1770192463,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.3.5,chunk-5fe4ea6d7391b0da91564dc4867ebf85,ApplicationData
DataRestoratio,Concept,"DataRestoratio is a resource identified in section 6.1.3.6, referenced as [3].",,,Rel-19,1770192468,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.3.6,chunk-de8176e3e0a39666b33bf97e447f4d79,DataRestoratio
nEvents,Concept,"nEvents is a conceptual entity defined in section 6.1.3.6.1, representing a count or occurrence of events in the system. It is referenced in the context of event handling or tracking within the specified section.)##",,,Rel-19,1770192476,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.3.6.1,chunk-d98d99323809d1a1bb0fc2cdeccfa284,nEvents
3gpp-Sbi-Etags,Concept,"The 3gpp-Sbi-Etags header field is used by the UDR in 200 OK responses to GET requests for multiple data set retrieval, enabling the conveyance of one Etag per retrieved data set. It allows the consumer to use a received Etag in If-Match or If-None-Match headers for subsequent individual accesses to the same data set.",,,Rel-19,1770192489,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.4,chunk-510a4d033ec7ed6903767f7a62d0e9e5,3gpp-Sbi-Etags
GET request,Concept,"A GET request is a type of HTTP request used to retrieve data from a server, and it triggers a 200 OK response that may include the 3gpp-Sbi-Etags header field for multiple data set retrieval.",,,Rel-19,1770192489,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.4,chunk-510a4d033ec7ed6903767f7a62d0e9e5,GET request
Etag,Terminology,,,,Rel-19,1770192489,../3GPP-trunked/Rel-19/29_series/29504-j20.md6.1.2.3.4,chunk-510a4d033ec7ed6903767f7a62d0e9e5,Etag
EapPayload,Technology,"EapPayload is a data component within 5gAuthData that contains the EAP packet request, used in EAP-based authentication procedures.<SEP>EapPayload is a data type that contains the EAP packet as defined in IETF RFC 3748. It is mandatory (M) and appears exactly once (1) in the EapSession. If no EAP packet is provided by the UE, a null value is conveyed to the AUSF.<SEP>EapPayload is a data type used in ProSeEapSession to contain the EAP packet as defined in IETF RFC 3748. It is mandatory (M) and has a cardinality of 1.<SEP>EapPayload is a data element within ProSeAuthData that contains the EAP packet request.",,,Rel-19,1770192567,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.4<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.7<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.14<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.15,chunk-4820920fa5300928df904d104cbf752f<SEP>chunk-7d3a7557a68c6c6b542983f4a8d28d4f<SEP>chunk-f72cd23c74177594bbb060406dd3c5dc<SEP>chunk-acc5a8f5cf45c9e634b671f0f9bce2c9,EapPayload
5G-AKA,Technology,"5G-AKA is an authentication and key agreement protocol used in 5G networks, selected when Av5gAka is included in 5gAuthData.",,,Rel-19,1770192495,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.4,chunk-4820920fa5300928df904d104cbf752f,5G-AKA
EAP,Technology,"EAP (Extensible Authentication Protocol) is a framework used for authentication, where EapPayload carries the EAP packet request within 5",,,Rel-19,1770192495,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.4,chunk-4820920fa5300928df904d104cbf752f,EAP
Table 6.1.6.2.5-1,UNKNOWN,"Av5gAka is a type defined in Table 6.1.6.2.5-1 with mandatory attributes rand, autn, and hxresStar",,,Rel-19,1770192500,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.5,chunk-7a39e716726e6da71ff7e4ed0510f6ea,Table 6.1.6.2.5-1
rand,UNKNOWN,"rand is a mandatory attribute of type Rand in the Av5gAka type, representing a random challenge value used in 5G authentication",,,Rel-19,1770192500,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.5,chunk-7a39e716726e6da71ff7e4ed0510f6ea,rand
autn,UNKNOWN,"autn is a mandatory attribute of type Autn in the Av5gAka type, representing the authentication token generated by the network during 5G authentication",,,Rel-19,1770192500,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.5,chunk-7a39e716726e6da71ff7e4ed0510f6ea,autn
resStar,Attribute,"resStar is a mandatory attribute of ConfirmationData that contains the ""RES*"" value provided by the UE to the AMF. If no RES* is provided by the UE, a null value is conveyed to the AUSF.",,,Rel-19,1770192507,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.6,chunk-49edbce69586b3a6f3c2b34a087b524a,resStar
ResStar,Technology,"ResStar is a value or token provided by the UE to the AMF as part of the ConfirmationData type, used in authentication procedures.",,,Rel-19,1770192507,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.6,chunk-49edbce69586b3a6f3c2b34a087b524a,ResStar
supportedFeatures,Technology,"supportedFeatures is an optional attribute of ConfirmationData that shall be present if at least one feature defined in clause 6.1.9 is supported<SEP>supportedFeatures is an optional attribute of type SupportedFeatures that shall be present if at least one feature defined in clause 6.<SEP>supportedFeatures is an optional attribute of type DeregistrationInfo that shall be present if at least one feature defined in clause 6.1.9 is supported.<SEP>supportedFeatures is an optional attribute of ProSeAuthenticationCtx with cardinality 0..1, and it shall be present only if at least one feature defined in clause 6.1.9 is supported.<SEP>supportedFeatures is an attribute of ProSeAuthenticationResult with data type SupportedFeatures, cardinality 0..1, and is present if at least one feature defined in clause 6.1.9 is supported.",,,Rel-19,1770192615,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.6<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.9<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.11<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.13<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.16,chunk-49edbce69586b3a6f3c2b34a087b524a<SEP>chunk-9059fbe05b12f40b5c29d9d02a8855da<SEP>chunk-42c5d934326b27b677afb04de6b2b424<SEP>chunk-c46efe55a39fb6029f3def15ae5a8176<SEP>chunk-8c30829d99cfa550881c9350bf7b62b3,supportedFeatures
clause 6.1.9,UNKNOWN,,,,Rel-19,1770192615,,,clause 6.1.9
Kseaf,Technology,"Kseaf is a security key used in the authentication process between the UE and the AMF, derived during the authentication procedure and used for key management.",,,Rel-19,1770192511,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.8,chunk-b1235642efb0407d9dca3b197905b474,Kseaf
AuthResult,Technology,"AuthResult is a data type used to represent the outcome of an authentication procedure, typically indicating success or failure.<SEP>AuthResult is a data type used in ProSeEapSession to indicate the result of the authentication process. It is conditionally present (C) with cardinality 0..1 and must be included if no EAP packet has been provided by the 5G ProSe Remote UE or the 5G ProSe End UE.",,,Rel-19,1770192559,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.8<SEP>../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.14,chunk-b1235642efb0407d9dca3b197905b474<SEP>chunk-acc5a8f5cf45c9e634b671f0f9bce2c9,AuthResult
Supi,Technology,Supi is a unique identifier for the UE used in authentication and network registration processes.,,,Rel-19,1770192511,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.8,chunk-b1235642efb0407d9dca3b197905b474,Supi
Msk,Terminology,,,,Rel-19,1770192508,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.7,chunk-f72cd23c74177594bbb060406dd3c5dc,Msk
NSWO,Terminology,,,,Rel-19,1770192508,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.7,chunk-f72cd23c74177594bbb060406dd3c5dc,NSWO
SUCI,Terminology,"SUCI is the abbreviation for Subscription Concealed Identifier, a privacy-enhancing identifier used in user equipment registration and authentication procedures",,,Rel-19,1770192508<SEP>1770208003,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.7<SEP>../3GPP-trunked/Rel-19/24_series/24554-j10.md1,chunk-f72cd23c74177594bbb060406dd3c5dc<SEP>chunk-6a724493251406e0b0d72b3cc82490f8,SUCI<SEP>SUCI)##
SNPN UE onboarding Provisioning Servers,Technology,"SNPN UE onboarding Provisioning Servers (PVS) are servers that provide provisioning services for UE onboarding, identified by FQDN(s) and/or IP address(es) in the pvsInfo attribute of EapSession.",,,Rel-19,1770192508,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.7,chunk-f72cd23c74177594bbb060406dd3c5dc,SNPN UE onboarding Provisioning Servers
IETF RFC 3748,Terminology,,,,Rel-19,1770192508,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.7,chunk-f72cd23c74177594bbb060406dd3c5dc,IETF RFC 3748
3GPP TS 33.501,Terminology,,,,Rel-19,1770192508,../3GPP-trunked/Rel-19/29_series/29509-j20.md6.1.6.2.7,chunk-f72cd23c74177594bbb060406dd3c5dc,3GPP TS 33.501
